id,title,doi,publication_date,zenodo_url,is_correct
3732887,Progetto SPOT - Sismicità Potenzialmente Innescabile Offshore e Tsunami: Report integrato di fine progetto,10.5281/zenodo.3732887,2020-03-31,https://zenodo.org/records/3732887,y
6365636,"Dataset for the ``Fast atmospheric response to a cold oceanic mesoscale patch in the north-western tropical Atlantic"" publication",10.5281/zenodo.6365636,2022-03-17,https://zenodo.org/records/6365636,y
7104538,Toward an independent reconstruction of the expansion history of the Universe,10.5281/zenodo.7104538,2022-09-22,https://zenodo.org/records/7104538,y
14448778,"Practice, Description and Theory Come Together – Normalization or Interference in Italian Technical Translation?",10.7202/1006174ar,2012-04-02,https://zenodo.org/records/14448778,y
14784759,"Figure 3 from: Zanatta K, Lasen C, Scariot A, Nascimbene J (2025) Inventory of the vascular flora of the alkaline fen ""Torbiera di Lipoi"" (Veneto, northern Italy). Italian Botanist 19: 21-30. https://doi.org/10.3897/italianbotanist.19.132549",10.3897/italianbotanist.19.132549.figure3,2025-01-30,https://zenodo.org/records/14784759,y
375960,Sul comportamentismo analitico e l'evasività sistematica dell'Io,10.5281/zenodo.375960,2016-08-01,https://zenodo.org/records/375960,y
3488607,"Figure 4 from: Pupillo P, Astuti G (2017) Population structure of Erythronium dens-canis L. (Liliaceae) in the northern Apennines (Italy). Italian Botanist 4: 1-14. https://doi.org/10.3897/italianbotanist.4.12439",10.3897/italianbotanist.4.12439.figure4,2017-06-27,https://zenodo.org/records/3488607,y
3846193,"Otitoma rubiginostoma Morassi & Nappo & Bonfitto 2017, sp. nov.",10.5281/zenodo.3846193,2017-12-31,https://zenodo.org/records/3846193,y
6672165,Polifonia Corpus - Pilots Module (MusicBO) Metadata,10.5281/zenodo.6672165,2022-06-20,https://zenodo.org/records/6672165,y
14478544,Bifidobacterium callitrichidarum sp. nov. from the faeces of the emperor tamarin (Saguinus imperator),10.1099/ijsem.0.002472,2017-11-08,https://zenodo.org/records/14478544,y
8159377,TransLib: A Library to Explore Transprecision Floating-Point Arithmetic on Multi-Core IoT End-Nodes,10.23919/DATE56975.2023.10136916,2023-04-17,https://zenodo.org/records/8159377,y
14315641,Right atrial volume is a major determinant of tricuspid annulus area in functional tricuspid regurgitation: a three-dimensional echocardiographic study,10.1093/ehjci/jeaa286,2020-10-07,https://zenodo.org/records/14315641,y
14726783,metadata of microbilogical analyses for marinated meat,10.5281/zenodo.14726783,2025-01-23,https://zenodo.org/records/14726783,y
14905489,EURO-Carbon Full Dataset,10.5281/zenodo.14905489,2025-02-21,https://zenodo.org/records/14905489,y
14335685,IFNα-stimulated neutrophils and monocytes release a soluble form of TNF-related apoptosis-inducing ligand (TRAIL/Apo-2 ligand) displaying apoptotic activity on leukemic cells,10.1182/blood-2003-08-2806,2004-01-20,https://zenodo.org/records/14335685,y
14327307,Lifestyle Modification Programs in Polycystic Ovary Syndrome: Systematic Review and Meta-Analysis,10.1210/jc.2013-2385,2013-10-04,https://zenodo.org/records/14327307,y
4498247,Agoo Bahder & Bartlett 2019,10.5281/zenodo.4498247,2020-09-22,https://zenodo.org/records/4498247,y
14431217,"First enantioselective one-pot, three-component imino Reformatsky reaction",10.1351/pac200678020287,2006-03-10,https://zenodo.org/records/14431217,y
5025114,"Data and code for ""Open bibliographic data and the Italian National Scientific Qualification: measuring coverage of academic fields""""",10.5281/zenodo.5025114,2021-06-24,https://zenodo.org/records/5025114,y
4390515,DanySK/Experiment-2020-LMCS-TimeFluid: Release 0.1.0-2020-12-23T180710,10.5281/zenodo.4390515,2020-12-23,https://zenodo.org/records/4390515,y
2654087,"Figure 23 from: Albano PG, Bakker PAJ, Sabelli B (2019) Annotated catalogue of the types of Triphoridae (Mollusca, Gastropoda) in the Natural History Museum of the United Kingdom, London. Zoosystematics and Evolution 95(1): 161-308. https://doi.org/10.3897/zse.95.32803",10.3897/zse.95.32803.figure23,2019-04-30,https://zenodo.org/records/2654087,y
14492417,Dose rationale and design of a first-time-in-children protocol for the evaluation of MYCN inhibition in neuroblastoma,10.1254/jpssuppl.wcp2018.0_or35-5,2020-09-09,https://zenodo.org/records/14492417,y
14325229,HEALTH‐RELATED QUALITY OF LIFE AMONG PATIENTS WITH RELAPSED/REFRACTORY CLASSICAL HODGKIN LYMPHOMA (R/R CHL) IN A PHASE 3 STUDY OF PEMBROLIZUMAB VERSUS BRENTUXIMAB VEDOTIN,10.1002/hon.105_2880,2021-06-17,https://zenodo.org/records/14325229,y
4022155,Towards a Humanities Citation Index,10.5281/zenodo.4022155,2020-09-10,https://zenodo.org/records/4022155,y
7661050,ANALISI NUMERICA DELLA PRESTAZIONE  ENERGETICA ANNUALE DI EDIFICI IN  LEGNO IN CILE,10.5281/zenodo.7661050,2020-09-17,https://zenodo.org/records/7661050,y
14398253,Heat treatment effect on <i>Cadophora luteo‐olivacea</i> of kiwifruit,10.1111/ppa.13503,2021-10-29,https://zenodo.org/records/14398253,y
11569280,The ATLAS of Italian Digital Humanities: a knowledge graph of digital scholarly research on Italian Cultural Heritage,10.5281/zenodo.11569280,2024-06-11,https://zenodo.org/records/11569280,y
4778440,Climate Change Impact Chains across the Environment and the Economy in Coastal and Marine Destinations,10.5281/zenodo.4778440,2020-11-06,https://zenodo.org/records/4778440,y
3277277,OpenCitations - Opening citation data to the public domain,10.5281/zenodo.3277277,2019-07-09,https://zenodo.org/records/3277277,y
12162496,Proline and β-alanine influence bumblebee nectar consumption without affecting survival,10.5281/zenodo.12162496,2024-06-19,https://zenodo.org/records/12162496,y
2654085,"Figure 22 from: Albano PG, Bakker PAJ, Sabelli B (2019) Annotated catalogue of the types of Triphoridae (Mollusca, Gastropoda) in the Natural History Museum of the United Kingdom, London. Zoosystematics and Evolution 95(1): 161-308. https://doi.org/10.3897/zse.95.32803",10.3897/zse.95.32803.figure22,2019-04-30,https://zenodo.org/records/2654085,y
10998849,Reproducibility: does one definition fit all?,10.5281/zenodo.10998849,2024-04-19,https://zenodo.org/records/10998849,y
10572810,Report on AI-optimised ISA extensions,10.5281/zenodo.10572810,2024-01-26,https://zenodo.org/records/10572810,y
8315783,Laboratory and free-living gait performance in adults with COPD and healthy controls,10.1183/23120541.00159-2023,2023-08-17,https://zenodo.org/records/8315783,y
7728524,Forecasting ocean wave-induced seismic noise; supporting dataset,10.5281/zenodo.7728524,2023-03-13,https://zenodo.org/records/7728524,y
